"idstatefrom","idaction","idstateto","probability","reward"
0,0,1,1,-130.366711025627
0,1,1,1,0
1,0,2,1,-128.202051948759
1,1,2,1,0
2,0,3,1,-129.795943342255
2,1,3,1,0
3,0,4,1,-131.526418551104
3,1,4,1,0
4,0,5,1,-131.425095395102
4,1,5,1,0
5,0,6,1,-129.481063075155
5,1,6,1,0
6,0,7,1,-129.796379320684
6,1,7,1,0
7,0,8,1,-129.795508588335
7,1,8,1,0
8,0,9,1,-128.668095723391
8,1,9,1,0
9,0,10,1,-130.793952884818
9,1,10,1,0
10,0,11,1,-130.7547005512
10,1,11,1,0
11,0,12,1,-128.436560891442
11,1,12,1,0
12,0,13,1,-131.770623199281
12,1,13,1,0
13,0,14,1,-128.769086996467
13,1,14,1,0
14,0,15,1,-131.997451873123
14,1,15,1,0
15,0,16,1,-129.445648847547
15,1,16,1,0
16,0,17,1,-130.105904387368
16,1,17,1,0
17,0,18,1,-129.323078674087
17,1,18,1,0
18,0,19,1,-130.057976657452
18,1,19,1,0
19,0,20,1,-130.447500766736
19,1,20,1,0
20,0,21,1,-131.465266777755
20,1,21,1,0
21,0,22,1,-129.698284294631
21,1,22,1,0
22,0,23,1,-132.835599150782
22,1,23,1,0
23,0,24,1,-127.794980758372
23,1,24,1,0
24,0,25,1,-129.969370195015
24,1,25,1,0
25,0,26,1,-129.498168167169
25,1,26,1,0
26,0,27,1,-129.613019638485
26,1,27,1,0
27,0,28,1,-130.414624732031
27,1,28,1,0
28,0,29,1,-129.644079802625
28,1,29,1,0
29,0,30,1,-129.899679354895
29,1,30,1,0
30,0,31,1,-128.659930026189
30,1,31,1,0
31,0,32,1,-129.654605802473
31,1,32,1,0
32,0,33,1,-130.282938935756
32,1,33,1,0
33,0,34,1,-130.224362032795
33,1,34,1,0
34,0,35,1,-128.722485588769
34,1,35,1,0
35,0,36,1,-130.767329065465
35,1,36,1,0
36,0,37,1,-131.09175880317
36,1,37,1,0
37,0,38,1,-127.792136409055
37,1,38,1,0
38,0,39,1,-131.570254646151
38,1,39,1,0
39,0,40,1,-129.902905717148
39,1,40,1,0
40,0,41,1,-129.519637504703
40,1,41,1,0
41,0,42,1,-130.559805823159
41,1,42,1,0
42,0,43,1,-131.29813603193
42,1,43,1,0
43,0,44,1,-129.878831343246
43,1,44,1,0
44,0,45,1,-128.471032389805
44,1,45,1,0
45,0,46,1,-129.258671384424
45,1,46,1,0
46,0,47,1,-130.114182030128
46,1,47,1,0
47,0,48,1,-129.797022504559
47,1,48,1,0
48,0,49,1,-128.997418458613
48,1,49,1,0
49,0,49,1,-87.0913953464973
49,1,49,1,-1395.41289992727
