"idstatefrom","idaction","idstateto","probability","reward"
0,0,0,0.176520992556448,-2.14443573728204
0,0,1,0.154417886472264,-2.14443573728204
0,0,2,0.203732598462657,-2.14443573728204
0,0,3,0.278054764743856,-2.14443573728204
0,0,4,0.187273757764775,-2.14443573728204
1,0,0,0.399002864932718,-9.88499186467379
1,0,1,0.00911205447130031,-9.88499186467379
1,0,2,0.178749739216352,-9.88499186467379
1,0,3,0.35678069531157,-9.88499186467379
1,0,4,0.0563546460680604,-9.88499186467379
2,0,0,0.529455387536533,-6.0910672834143
2,0,1,0.0374120060909828,-6.0910672834143
2,0,2,0.140035122687591,-6.0910672834143
2,0,3,0.0570318388992875,-6.0910672834143
2,0,4,0.236065644785605,-6.0910672834143
3,0,0,0.427074880418023,4.07066266052425
3,0,1,0.0643139939655191,4.07066266052425
3,0,2,0.330819931948111,4.07066266052425
3,0,3,0.149820319755625,4.07066266052425
3,0,4,0.0279708739127219,4.07066266052425
4,0,0,0.16919381132505,8.83437716867775
4,0,1,0.565344409561231,8.83437716867775
4,0,2,0.00272132141250442,8.83437716867775
4,0,3,0.0740724784974275,8.83437716867775
4,0,4,0.188667979203787,8.83437716867775
