"idstatefrom","idaction","idstateto","probability","reward"
0,0,0,0.281784013612265,8.31765702925622
0,0,1,0.203963131396676,8.31765702925622
0,0,2,0.00777154120001456,8.31765702925622
0,0,3,0.0408500878918006,8.31765702925622
0,0,4,0.465631225899244,8.31765702925622
1,0,0,0.184888750249419,-2.79978557024151
1,0,1,0.092406363626842,-2.79978557024151
1,0,2,0.367148902925831,-2.79978557024151
1,0,3,0.296441218356591,-2.79978557024151
1,0,4,0.0591147648413165,-2.79978557024151
2,0,0,0.12618095664434,1.69097730424255
2,0,1,0.294190507321316,1.69097730424255
2,0,2,0.283289108220429,1.69097730424255
2,0,3,0.149552905145703,1.69097730424255
2,0,4,0.146786522668213,1.69097730424255
3,0,0,0.474381017364642,1.6438201488927
3,0,1,0.20953910157696,1.6438201488927
3,0,2,0.018099998670417,1.6438201488927
3,0,3,0.274242282576898,1.6438201488927
3,0,4,0.0237375998110818,1.6438201488927
4,0,0,0.134152013683378,-1.87457576859742
4,0,1,0.217147292587408,-1.87457576859742
4,0,2,0.250414588199787,-1.87457576859742
4,0,3,0.0118934991286792,-1.87457576859742
4,0,4,0.386392606400747,-1.87457576859742
